judul_lagu;artist;mood;link_play
24K Magic;Bruno Mars;Happy;https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
YOUTH;Troye Sivan;Happy;https://open.spotify.com/track/0nhBKubnVz9yFNNprBniWz
Andai Aku Bisa;Chrisye;Sad;https://open.spotify.com/track/3P85fXU5hB1czGaw0F1v79
idontwannabeyouanymore;Billie Eilish;Sad;https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
I Feel It Coming;The Weeknd;Happy;https://open.spotify.com/track/3dhjNA0jGA8vHBQ1VdD6vV
La La Lost You;88rising;Happy;https://open.spotify.com/track/5Htq8DDDN0Xce9MwqzAzui
Alone;Marshmello;Energetic;https://open.spotify.com/track/3MEYFivt6bilQ9q9mFWZ4g
Stargazing;Kygo;Happy;https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
Dalan Liyane;Woro Widowati;Sad;https://open.spotify.com/track/1x6ptFLd5HJmSmrO5BuGOh
Ku Dengannya Kau Dengan Dia;Afgan;Sad;https://open.spotify.com/track/24Dk7XFLnMXYuv1U9Qjv3U
Call Out My Name;The Weeknd;Energetic;https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN
Life Is Still Going On;NCT DREAM;Happy;https://open.spotify.com/track/3THdOskGxdJcRbp0DcS4s0
The Man Who Can't Be Moved;The Script;Sad;https://open.spotify.com/track/3nqqDo8CcCLke3ZoTgiOKf
Mungkin;Potret;Sad;https://open.spotify.com/track/46iQCIswQcuDJt6sxNw3Xd
BIRTHDAY;JEON SOMI;Energetic;https://open.spotify.com/track/5XcM0eD1lsWZibqJ9AUTFq
Berita Kehilangan;.Feast;Happy;https://open.spotify.com/track/1OGXIoBfCR3vQSgcMY9Or4
Look What You Made Me Do;Taylor Swift;Energetic;https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il
DNA;BTS;Happy;https://open.spotify.com/track/3uRLwBjI2TahxslcMTvpFs
Call You Mine (feat. Geologic Of The Blue Scholars);Jeff Bernat;Calm;https://open.spotify.com/track/4m5HKGwULoA0SvhaXiDMPR
Glow Like Dat;Rich Brian;Happy;https://open.spotify.com/track/7MXcmkmyxEYAJf04cbqKoI
WA DA DA;Kep1er;Happy;https://open.spotify.com/track/4gdiCHNbwugojBqr5Jt3pq
Hey Stupid, I Love You;JP Saxe;Happy;https://open.spotify.com/track/5inDa3sWj8zqJBOdj7Bjqc
Blue & Grey;BTS;Sad;https://open.spotify.com/track/7Ki0hse0IfXEcXUlpyECbJ
Menepi Cover;Guyon Waton;Happy;https://open.spotify.com/track/1merjIVhdrKOOdolcYhn3v
break up with your girlfriend, i'm bored;Ariana Grande;Energetic;https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
Stay With You;Cheat Codes;Energetic;https://open.spotify.com/track/7q8jJ1XZEliBakZSUMFde5
Stay Gold;BTS;Happy;https://open.spotify.com/track/0UwQTbq7ZtBJ7v530mpaxP
MORE & MORE;TWICE;Happy;https://open.spotify.com/track/3omvXShuRPM3zbDpWYqf5g
Let You Down;NF;Energetic;https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
Arcade;Duncan Laurence;Sad;https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
Bet You Wanna (Feat. Cardi B);BLACKPINK;Happy;https://open.spotify.com/track/3AgMOlgdrG9RJXDWifcjVd
Dia - Hits Single;Anji;Sad;https://open.spotify.com/track/2ok6IGh97S4eIRse9K2sjg
Kali Kedua;Raisa;Sad;https://open.spotify.com/track/4CvYHgcpBFbefsz6Q55ID1
Kita - Acoustic;Sheila On 7;Happy;https://open.spotify.com/track/09pYzzyrc6MsJXuG3K1ruC
Love To Hate Me;BLACKPINK;Happy;https://open.spotify.com/track/3Gk1LfB771PIEGgsEa7gcV
Daylight;Taylor Swift;Sad;https://open.spotify.com/track/1fzAuUVbzlhZ1lJAx9PtY6
Too Good At Goodbyes - Live From The Royal Albert Hall;Sam Smith;Happy;https://open.spotify.com/track/6zbFdd9rFfZjWrvj4tiJa3
Pulang;Float;Calm;https://open.spotify.com/track/5Ge3e6dV4wsae8lDQQq8PY
Running Up That Hill (A Deal With God);Kate Bush;Sad;https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
All Good;Dipha Barus;Happy;https://open.spotify.com/track/3s8ik4CUIZXXGDBgD0EAZ5
These Days (feat. Jess Glynne, Macklemore & Dan Caplen);Rudimental;Happy;https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
Menepi;Woro Widowati;Sad;https://open.spotify.com/track/61k1aKbsSAalD5eE7cwCvH
Sweet Night;V;Sad;https://open.spotify.com/track/3Wno87vVBVbSVS2vUUFuKC
Sejauh Dua Benua;Arsy Widianto;Sad;https://open.spotify.com/track/1ZNGXIOII9a6m1bkp5U1ct
Nemen HipHop Dangdut Version;NDX A.K.A.;Sad;https://open.spotify.com/track/0x1pt89JYeC7MPZ2JsFCZS
Beautiful Mistakes (feat. Megan Thee Stallion);Maroon 5;Happy;https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
Ocean (feat. Khalid);Martin Garrix;Sad;https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
HOT;SEVENTEEN;Happy;https://open.spotify.com/track/6I2tqFhk8tq69iursYxuxd
This Is What You Came For;Calvin Harris;Energetic;https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
All The Stars (with SZA);Kendrick Lamar;Happy;https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
1-800-273-8255;Logic;Sad;https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
Wow.;Post Malone;Energetic;https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
Psycho (feat. Ty Dolla $ign);Post Malone;Sad;https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
Munafik;Ziva Magnolya;Sad;https://open.spotify.com/track/1DcGPtpIZAsVJy7JAftKoT
Runaway;AURORA;Sad;https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
Heathens;Twenty One Pilots;Happy;https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
Till It Hurts (feat. Ayden);Yellow Claw;Energetic;https://open.spotify.com/track/6HhrMBN43RnGlGv7vIdnM5
Selaras;Kunto Aji;Calm;https://open.spotify.com/track/7kZ4uU7cO2Y36XWmuwEOW0
Cheap Thrills;Sia;Happy;https://open.spotify.com/track/4YmaKveKcPyUdja8H2P5IQ
Wonder;Shawn Mendes;Energetic;https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
Bahagia Bersamamu;Haico;Sad;https://open.spotify.com/track/4kuDYuBjhxBokag7CyUvkn
Naked;James Arthur;Energetic;https://open.spotify.com/track/334G4JvqGShCMWX1nCkOVU
Katakan;Jaz;Sad;https://open.spotify.com/track/79KwLv0nWvYay5qFrOLjyx
Break My Heart;Dua Lipa;Energetic;https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
Pergi Tak Meninggalkan;Ekhsan;Sad;https://open.spotify.com/track/7vmecXQjTtvjV644sS8PUW
Malibu Nights;LANY;Calm;https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
HUMBLE.;Kendrick Lamar;Energetic;https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
Boss Bitch;Doja Cat;Energetic;https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
KILLING ME;iKON;Sad;https://open.spotify.com/track/1IbpTcFDHRD87cGQOhVCDP
we fell in love in october;girl in red;Calm;https://open.spotify.com/track/6IPwKM3fUUzlElbvKw2sKl
wish you were gay;Billie Eilish;Calm;https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
Pergi Menjauh;Marion Jola;Sad;https://open.spotify.com/track/1JFs42bUNxi8Mcxnvfn3pp
NEMEN;Sasya Arkhisna;Sad;https://open.spotify.com/track/0TuttExCt1JaKvrX2DvIXU
Dive Into You;NCT DREAM;Happy;https://open.spotify.com/track/0z3ZZ2JKusRpapstADTxVf
Never Be the Same;Camila Cabello;Energetic;https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
Rungkad;Happy Asmara;Happy;https://open.spotify.com/track/3YQNAI3ZI2Ss3A9fWXx8jQ
Tired;Alan Walker;Energetic;https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a
Memulai Kembali;Monita Tahalea;Sad;https://open.spotify.com/track/7hUIyCWlieYBICMoa3SynY
Lost In Japan;Shawn Mendes;Energetic;https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
Do I Wanna Know?;Arctic Monkeys;Happy;https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst
Like I Can;Sam Smith;Happy;https://open.spotify.com/track/2TeLIzFBe3hxkPR5FIQZut
UNFORGIVEN (feat. Nile Rodgers);LE SSERAFIM;Energetic;https://open.spotify.com/track/51vRumtqbkNW9wrKfESwfu
Castle on the Hill;Ed Sheeran;Energetic;https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
Cinta Begini;Tangga;Sad;https://open.spotify.com/track/4387TltnnL2gMSYdr4UPhG
Queendom;Red Velvet;Energetic;https://open.spotify.com/track/6SpPr7K4YQ2wp8jU6uOTmQ
Rekah;Brisia Jodie;Sad;https://open.spotify.com/track/4dktFmzKGYhtLGidhO4BDe
Paris in the Rain;Lauv;Sad;https://open.spotify.com/track/2MOoIbJWIYikwIXjBDe26i
Child;MARK;Energetic;https://open.spotify.com/track/5HaYRuf3zAfCb8RSO9LLea
Dive;Ed Sheeran;Sad;https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
Style;Taylor Swift;Energetic;https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e
Di Sepertiga Malam;Rey Mbayang;Sad;https://open.spotify.com/track/7p0buX4yhbZxCnq7Bou2Yq
Dat $tick;Rich Brian;Energetic;https://open.spotify.com/track/4bdJHQp90ymjEIkkYhcENB
La Vie en Rose;IZ*ONE;Happy;https://open.spotify.com/track/3WfaJhCL4p2JbdffJjV6Va
FOREVER 1;Girls' Generation;Energetic;https://open.spotify.com/track/1oen3GpTcA486fTHaT7neg
Satu Kali;Tulus;Happy;https://open.spotify.com/track/7hMW54xnFEPdmVy4nBHp9H
Run BTS;BTS;Happy;https://open.spotify.com/track/69xohKu8C1fsflYAiSNbwM
Penantian Berharga;Rizky Febian;Happy;https://open.spotify.com/track/16kiuKjacDC4bFX9flnLA6
My Everything;Ariana Grande;Sad;https://open.spotify.com/track/4eumFsTnduH3zRfaASoAPs
WAP (feat. Megan Thee Stallion);Cardi B;Energetic;https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
0X1=LOVESONG (I Know I Love You) feat. Seori;TOMORROW X TOGETHER;Energetic;https://open.spotify.com/track/1Z8TPHiKeCUyClxV6WTTIf
Nala;Tulus;Sad;https://open.spotify.com/track/3AdEZRmsa3zviTr2Whx3zI
YES or YES;TWICE;Happy;https://open.spotify.com/track/26OVhEqFDQH0Ij77QtmGP9
i hate u, i love u (feat. olivia o'brien);gnash;Calm;https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
Stressed Out;Tiko;Happy;https://open.spotify.com/track/28SW36Bv0nTie4UsDeGXD7
Kitsch;IVE;Energetic;https://open.spotify.com/track/4hbU7BVioG3WnoRNEy5YUf
My Boo;Usher;Happy;https://open.spotify.com/track/35YaQjI2ytws9DtjiZEKSB
One Dance;Drake;Energetic;https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
A Different Way (with Lauv);DJ Snake;Happy;https://open.spotify.com/track/1YMBg7rOjxzbya0fPOYfNX
Bad Boy;Red Velvet;Happy;https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
Hymn for the Weekend;Coldplay;Happy;https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
All My Love (feat. Conor Maynard);Cash Cash;Energetic;https://open.spotify.com/track/1839RWzPRZCVgvamu4sHSN
"How Far I'll Go - From ""Moana""";Alessia Cara;Energetic;https://open.spotify.com/track/5EbX5xL3O2xT8FxCpYzgUO
I Took A Pill In Ibiza - Seeb Remix;Mike Posner;Happy;https://open.spotify.com/track/0vbtURX4qv1l7besfwmnD8
Meraih Bintang;Via Vallen;Happy;https://open.spotify.com/track/4yRiSND7cTKbivGz7wk4Hc
Apapun Yang Terjadi;Hindia;Happy;https://open.spotify.com/track/4YSOlJJoFu4vfZYJUiewl9
This Is Me;Keala Settle;Energetic;https://open.spotify.com/track/45aBsnKRWUzhwbcqOJLwfe
Kembali Ke Awal;Glenn Fredly;Sad;https://open.spotify.com/track/6tUGlpOv9ZZFaRLADdIMBC
Nxde;(G)I-DLE;Energetic;https://open.spotify.com/track/6NnCWIWV740gP7DQ8kqdIE
Friends (with BloodPop®);Justin Bieber;Happy;https://open.spotify.com/track/7iNIg7XDEaYECfWD5dJ9Va
Peneman Malam Sepi;OKAAY;Sad;https://open.spotify.com/track/68fBzBoxY5CuaHZNJ4AZFK
Fortune Cookie in Love ( Fortune Cookie Yang Mencinta);JKT48;Happy;https://open.spotify.com/track/3tL82LotUXYZ8bkifLmbie
All Night;The Vamps;Energetic;https://open.spotify.com/track/0dXNQ8dckG4eYfEtq9zcva
bury a friend;Billie Eilish;Calm;https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
TOMBOY;(G)I-DLE;Happy;https://open.spotify.com/track/0IGUXY4JbK18bu9oD4mPIm
Love Lies (with Normani);Khalid;Energetic;https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
Gemintang Hatiku;Tiara Andini;Happy;https://open.spotify.com/track/3wC2GeJd3Ar4Wi1u5G7FUR
History;88rising;Calm;https://open.spotify.com/track/4TwVtW8hS5LyLoDtJGpUOg
Teman Hidup;Tulus;Sad;https://open.spotify.com/track/1U1qumuS2O5Qttw8G7UXOZ
Anywhere;Rita Ora;Energetic;https://open.spotify.com/track/6ZiSScoPLyeZyIudUBip1V
Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons;Energetic;https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
Sedih Tak Berujung;Glenn Fredly;Sad;https://open.spotify.com/track/6xMUMMK64AUpstGjlDvoNn
Kelana;Tulus;Sad;https://open.spotify.com/track/3yc3Lyo0iG4eFdq5LAWI0C
Jadi Yang Kuinginkan;Vierra;Happy;https://open.spotify.com/track/6Mer5b4DMQzkQKN4CoTYpx
Tega;Tiara Andini;Sad;https://open.spotify.com/track/0aD0wrs2WlqnV3l7VXqlfM
God’s Menu;Stray Kids;Energetic;https://open.spotify.com/track/4XPXrcpyNr30Km6aPiflJy
hot girl bummer;blackbear;Happy;https://open.spotify.com/track/6jRq8gaZhMUyy5RclRPcAf
Send My Love (To Your New Lover);Adele;Happy;https://open.spotify.com/track/563SfWAHJs4FBZMkRN0IFN
Akhir Cerita Cinta - Ost. Cinta Silver (Re-arrange Version);Glenn Fredly;Sad;https://open.spotify.com/track/7wPlxhTeGIT9tm0pk03vwq
First Time;Kygo;Happy;https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
Glorious (feat. Skylar Grey);Macklemore;Energetic;https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
Money Honey (Count Me In);Dipha Barus;Happy;https://open.spotify.com/track/1qwgsCJ21RoSi4SXDVUnG8
Cupid (Twin Ver.) - Slowed Down Version;FIFTY FIFTY;Happy;https://open.spotify.com/track/2Jvo9dhwycW9VN8llKjuzc
Tempo;EXO;Energetic;https://open.spotify.com/track/4EjUFjzi4ErWjklOA3Aslu
Aku Bertahan;Rio Febrian;Sad;https://open.spotify.com/track/0uG4W1mvsLHMrjOaxbrEqo
XOXO;JEON SOMI;Happy;https://open.spotify.com/track/2ZMkjvuOQOD9HLplTDjbTA
Swalla (feat. Nicki Minaj & Ty Dolla $ign);Jason Derulo;Happy;https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
Smokin Out The Window;Bruno Mars;Happy;https://open.spotify.com/track/1oERlssLrpssCAY6Yqqs6c
90's Love - SQUAR Remix;NCT U;Happy;https://open.spotify.com/track/21uB15SdGJR4NYprvjInYw
Your Song;Rita Ora;Happy;https://open.spotify.com/track/54suAFhsGjOKBhrUedu0pm
Menari;Rizky Febian;Happy;https://open.spotify.com/track/2lOlTbC12aCogVwJ8qxsyf
Usai Di Sini;Raisa;Sad;https://open.spotify.com/track/6i5sIqE4lglanzlXXl8gCj
That That (prod. & feat. SUGA of BTS);PSY;Happy;https://open.spotify.com/track/7GNRUsU3M4XNDDB9xle5Dz
telepatía;Kali Uchis;Happy;https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
SLOW DANCING IN THE DARK;Joji;Sad;https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
Pergi Hilang Dan Lupakan;Remember of Today;Energetic;https://open.spotify.com/track/1rRhkSL28ko0rj9k8Gvdlb
DUMB DUMB;JEON SOMI;Energetic;https://open.spotify.com/track/6dG2zPUOWXk3eMC7Hb3wh3
What It Is (Solo Version);Doechii;Happy;https://open.spotify.com/track/73RbfOTJIjHzi2pcVHjeHM
Suwung;Heyek Crew;Happy;https://open.spotify.com/track/2cld3oOCiFAJRdDxCH85Zd
Remedi;Tulus;Sad;https://open.spotify.com/track/1kAQQKREO1mXYy2Qy7H9td
The Ocean (feat. Shy Martin);Mike Perry;Energetic;https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
Dreamer;Axwell /\ Ingrosso;Happy;https://open.spotify.com/track/0RTzJVkunbGwuRjXDFHnjf
Di Atas Meja;Payung Teduh;Sad;https://open.spotify.com/track/1MDVXlgY8Of2n2otw57hw0
XO Tour Llif3;Lil Uzi Vert;Energetic;https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
Wait a Minute;Pamungkas;Sad;https://open.spotify.com/track/5thYdqTZJZFtzSR9cXJzwk
DUN DUN;EVERGLOW;Energetic;https://open.spotify.com/track/3ejAkJLWQSEJDqDXxK3efB
Anti-Romantic;TOMORROW X TOGETHER;Energetic;https://open.spotify.com/track/44tTqUi3xi7E28QLzHVdUA
Slow Hands;Niall Horan;Happy;https://open.spotify.com/track/2cOUlop2ZakjOKe4WinesN
Bad Habit;Steve Lacy;Sad;https://open.spotify.com/track/5CM4UuQ9Gnd6K2YyKGPMoK
Ride;Twenty One Pilots;Happy;https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
Congratulations;Post Malone;Happy;https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
You Never Know;BLACKPINK;Sad;https://open.spotify.com/track/00J8yszzb5PR6ZIvSBtg0Y
Favorite (Vampire);NCT 127;Energetic;https://open.spotify.com/track/3rR9kTA6mD9LbmsCE0QWEY
Hargai Cinta;Rizky Febian;Sad;https://open.spotify.com/track/0iCt5T9w5RLIMtKWgqYH9H
Galway Girl;Ed Sheeran;Happy;https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
Lagi Syantik;Siti Badriah;Happy;https://open.spotify.com/track/2t65pJQA9BpPXehQLkOydo
willow;Taylor Swift;Sad;https://open.spotify.com/track/0lx2cLdOt3piJbcaXIV74f
no song without you;HONNE;Calm;https://open.spotify.com/track/1lNHWPDvKEbamKezpLq7HW
Capital Letters;Hailee Steinfeld;Energetic;https://open.spotify.com/track/6l0Ky2PycJV1Bz88kFeVGL
Besok Mungkin Kita Sampai;Hindia;Happy;https://open.spotify.com/track/08OPqLv99g8avzmxQepmiw
Fine;TAEYEON;Sad;https://open.spotify.com/track/6CdUgvL597jWmW4w8P5kHs
Walking in the Wind;One Direction;Happy;https://open.spotify.com/track/1ZycJRpLOazlLcoFGxGROO
Earth;Lil Dicky;Happy;https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO
Doin' Time;Lana Del Rey;Sad;https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX
Tetap Untukmu;Anneth;Sad;https://open.spotify.com/track/4u2hiASkRpjQdwBIZQS4iF
ROCKSTAR (feat. Roddy Ricch);DaBaby;Energetic;https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
God is a woman;Ariana Grande;Energetic;https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
Forever Young;BLACKPINK;Energetic;https://open.spotify.com/track/2Pp9osgyIcw6o1avfDDDhH
Cahaya;Tulus;Sad;https://open.spotify.com/track/2rGGLCSkv9ISfH64KSYFBj
Kepada Noor;Panji Sakti;Sad;https://open.spotify.com/track/1rvMhV6FQggO28NYyxfV0G
Waste It On Me;Steve Aoki;Happy;https://open.spotify.com/track/2FWyJIT0gL2G3xWVQ9Id5f
California (feat. Warren Hue);88rising;Sad;https://open.spotify.com/track/3Qj2f7BrpJNGj3dbxKpOlp
Mercy;Shawn Mendes;Energetic;https://open.spotify.com/track/0AS63m1wHv9n4VVRizK6Hc
jealousy, jealousy;Olivia Rodrigo;Happy;https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
Never Goodbye;NCT DREAM;Happy;https://open.spotify.com/track/5EAfUqytXYbH0yUZR3QGli
Meant 2 Be;Shakira Jasmine;Sad;https://open.spotify.com/track/35xF6iKiyjohKJgg7dntw4
What You Waiting For;JEON SOMI;Happy;https://open.spotify.com/track/26YSv4NFDACPUKGX5Aj079
Liar;Camila Cabello;Happy;https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
Beranjak Dewasa;Nadin Amizah;Sad;https://open.spotify.com/track/3FPlY1uqTe1oFfIgI0BnoA
ON (Feat. Sia);BTS;Energetic;https://open.spotify.com/track/4JWbH50WabthGhmtduR8b9
Alexandra;Reality Club;Sad;https://open.spotify.com/track/7JFFMicliyVArHQgwEqVBS
Sang Penggoda;Tata Janeeta;Sad;https://open.spotify.com/track/7uP1XTPVEI40AZGVKNzITm
Rain On Me (with Ariana Grande);Lady Gaga;Happy;https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
Wild Flower (with youjeen);RM;Energetic;https://open.spotify.com/track/1AZjCZSGEjlxUufFQwSszF
Therefore I Am;Billie Eilish;Calm;https://open.spotify.com/track/20R4HfKloPKgXDqU7UKk3x
One Only - Acoustic;Pamungkas;Happy;https://open.spotify.com/track/71ck7QnubXzGGj3hE49dvk
Finesse - Remix;0;0;0
Slide (feat. Frank Ocean & Migos);Calvin Harris;Happy;https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
Running;Gaho;Happy;https://open.spotify.com/track/6IcVM9iHTsX4sm0Xj54MBF
Kemarin;Seventeen;Sad;https://open.spotify.com/track/547FlcnWWGVMFWk8rjYnFu
In My Mind;Lyn Lapid;Sad;https://open.spotify.com/track/2W779g2UrRZtVdf3FcEOO1
Late Night Talking;Harry Styles;Happy;https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
Work from Home (feat. Ty Dolla $ign);Fifth Harmony;Happy;https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
Bite Me;ENHYPEN;Happy;https://open.spotify.com/track/7mpdNiaQvygj2rHoxkzMfa
Savage Remix (feat. Beyoncé);Megan Thee Stallion;Energetic;https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
Rose - English Version;D.O.;Happy;https://open.spotify.com/track/2shyarF21wZvWew00TdaP3
IDOL;BTS;Energetic;https://open.spotify.com/track/1e8J3XClxZbFmvIHLI8CE4
Kalau Bosan;Lyodra;Sad;https://open.spotify.com/track/7fK67sqtMcZn9nbMYnJKxn
So In Love;Marion Jola;Happy;https://open.spotify.com/track/77pshax1mObVWgL4sTp2V4
ZOO;TAEYONG;Energetic;https://open.spotify.com/track/7eVu7FI02cTicLEgVtUvwF
Roses;The Chainsmokers;Energetic;https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
Sit Still, Look Pretty;Daya;Happy;https://open.spotify.com/track/6ZtiywT2Qm50a1uR0jlY35
There's No Way;Lauv;Sad;https://open.spotify.com/track/5ZpIsCmJtMAyTvz8Z3bGXX
Karna Su Sayang (Acoustic Version);AVIWKILA;Sad;https://open.spotify.com/track/0M5sLa1Nm2WLVhHy0InNZu
Scars To Your Beautiful;Alessia Cara;Energetic;https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq
Ramai Sepi Bersama;Hindia;Happy;https://open.spotify.com/track/1VTjpFsZhnKvEgZhlzPIzb
Believer;Imagine Dragons;Happy;https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
Si Lemah;RAN;Energetic;https://open.spotify.com/track/4TPIAnmVnouoZuwB6blHWl
High Hopes;Panic! At The Disco;Happy;https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
Take My Breath;The Weeknd;Energetic;https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
Do You Love Me;Stephanie Poetri;Sad;https://open.spotify.com/track/1rbjic9uKr1p6nxnjLDHN6
Anganku Anganmu;Raisa;Sad;https://open.spotify.com/track/3jK5ndIlxMK3rN0gjlfkzh
Just Hold On;Steve Aoki;Energetic;https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
Hard to Love;BLACKPINK;Energetic;https://open.spotify.com/track/1I2MEjnS9c4OPMnKWbIuYs
Life's Too Short (English Version);aespa;Energetic;https://open.spotify.com/track/2mgzUVvDpb1zMSB4glLQ6T
There Is a Light That Never Goes Out - 2011 Remaster;The Smiths;Happy;https://open.spotify.com/track/0WQiDwKJclirSYG9v5tayI
I LOVE YOU;TREASURE;Energetic;https://open.spotify.com/track/1SxqqC1aQ8JiLyfMrHYmnF
시작;Gaho;Happy;https://open.spotify.com/track/5TeDIQrpwWtLWaFfzLH0hh
all the kids are depressed;Jeremy Zucker;Calm;https://open.spotify.com/track/75ls0gurX68lUmMjE7QcsE
Lover;Taylor Swift;Sad;https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
No Brainer;DJ Khaled;Energetic;https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
Skechers;DripReport;Calm;https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
I Still Love You (Acoustic Version);TheOvertunes;Sad;https://open.spotify.com/track/12NJunsYai7rMT0kM3E8GV
Good Person (2022);HAECHAN;Sad;https://open.spotify.com/track/0lbtRkC7Bs9aR3ZYvtZydi
Stay Alive (Prod. SUGA of BTS);Jung Kook;Happy;https://open.spotify.com/track/7CAdT0HdiQNlt1C7xk2hep
Cookie;NewJeans;Happy;https://open.spotify.com/track/2DwUdMJ5uxv20EhAildreg
Cold (feat. Future);Maroon 5;Energetic;https://open.spotify.com/track/2NlTOhsAamXOaZciOXbITb
Rain;The Script;Happy;https://open.spotify.com/track/2QWP8NYYplOqEFBYGCcq0S
Denting;Melly Goeslaw;Sad;https://open.spotify.com/track/1EMcc3U2s0NQjfWsdQNZ3G
Sulung;Kunto Aji;Sad;https://open.spotify.com/track/4ZG4aqyBvKk3V3yZBoLToK
SICKO MODE;Travis Scott;Energetic;https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
Setengah Hati;Ada Band;Energetic;https://open.spotify.com/track/3wgsNf9cC9z3OOrCWzQZNN
Super Far;LANY;Happy;https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta
Take Me To Church;Hozier;Sad;https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
Serenata Jiwa Lara;Diskoria;Happy;https://open.spotify.com/track/7ivFVBVYH5akFOtOAyeJ4j
Obsession;EXO;Happy;https://open.spotify.com/track/7fK0csBoqbcgUuWGV0cpoD
Entertainer;ZAYN;Sad;https://open.spotify.com/track/4By48hpAtUx7F7F1yxvwvm
Desember;Efek Rumah Kaca;Sad;https://open.spotify.com/track/0yyRL7Rxr4oJ6uI7DYe2OT
